doc_id,content
D11,"건강 관리를 위해 규칙적 식습관, 주 3회 이상 유산소·근력 운동, 하루 7~8시간 수면, 스트레스 관리(명상·취미), 정기 건강검진이 필요하며, 비만 예방을 위해 저탄수화물·고단백 식단과 주간 10,000보 걷기, 음주·흡연 최소화를 권장합니다. 정신 건강에는 긍정적 마인드, 사회적 지지, 전문 상담 서비스 이용이 중요합니다."
D12,"서울 근교 당일치기 여행지로 가평 쁘띠프랑스, 남양주 수종사, 양평 두물머리, 용인 에버랜드가 있으며, 대중교통과 경춘고속도로로 접근이 편리합니다. 야놀자, 쿠팡트래블 등 관광 예약 앱에서 할인 혜택도 확인할 수 있습니다."
D13,"비빔밥은 지역별로 칼로리와 영양성분이 다르며, 전주(약 650kcal)는 채소·고기·계란 비율이 균형 잡힌 반면, 진주(약 700kcal)는 해산물과 육류가 혼합되어 열량이 높고, 안동은 간단한 재료로 600kcal 내외입니다. 나물 종류와 기름 사용량이 칼로리 차이에 영향을 미칩니다."
D14,"AI 기반 기계학습과 강화학습을 활용한 기후 예측 연구는 대규모 기상 데이터를 분석해 미래 기온과 강수량, 극한 기상 상황 발생 확률을 예측하며, 한국 기상청과 KAIA가 공동 개발한 Deep Learning 단기 기상 예보 모델이 대표적이다. 이러한 연구는 기후 변화 대응 정책 수립에 활용된다."
D15,"가야금은 12줄의 한국 전통 현악기로 가야 시대에 기원했으며, 고려 말·조선 초 궁중 음악으로 발전했다. 현대에는 거문고, 해금과 함께 국악 앙상블에서 손끝으로 줄을 튕겨 연주한다."
D16,"전통 혼례는 폐백, 예단, 함, 폐백음식 등 복잡한 의례와 신랑 집 가마 행렬, 폐백상 차림, 한복 착용 방식을 포함하며, 지역별 절차와 명칭이 다릅니다. 최근에는 전통식을 모던하게 재해석한 혼례가 인기를 얻고 있습니다."
D17,"2023년 한국 영화 흥행 순위 Top10에는 “헌트”, “비상선언”, “범죄도시3”, “마녀 Part2”, “길복순”, “킹메이커”, “거룩한 밤”, “외계+인 1부·2부”, “밀수”가 포함되며, 액션·스릴러 장르와 감독·출연진이 흥행에 큰 영향을 미쳤다."
D18,"윈도우즈에서 한글 깨짐 없이 matplotlib 시각화를 위해서는 한글 폰트(예: NanumGothic, Malgun Gothic)를 설치하고 `plt.rc(""font"", family=""Malgun Gothic"")`로 폰트 경로를 지정해야 합니다. 이를 통해 차트 제목, 축 레이블, 범례 등에서 한글이 정상 출력됩니다."
D19,"코드 악취(Bad Smell)는 중복 코드, 긴 메서드, 거대한 클래스 등 유지보수 어려움을 주는 비효율적 코드 패턴을 의미하며, 리팩토링(메서드 추출, 클래스 분할, 변수명 변경 등)으로 개선해 코드 품질과 안정성을 높인다."
D20,"JUnit5는 모듈화 구조와 확장 API, 유연한 애노테이션, 강력한 어서션 기능을 제공하며 테스트 라이프사이클 관리가 개선되었고, Eclipse에서 Maven/Gradle 의존성 설정 후 `@Test` 메서드 작성으로 사용한다. JUnit4는 `@RunWith`와 `@Rule`을 사용하며 레거시 프로젝트 호환성이 높다."
D21,"Wheel of Fortune은 랜덤 원판을 돌려 알파벳을 맞추고 점수를 획득하는 턴 기반 게임으로, 자음·모음 선택과 “Bankrupt”, “Lose a Turn” 같은 스페셜 칸이 포함됩니다. 게임에는 보너스 라운드, 시간 제한, 알파벳 빈도 전략이 적용됩니다."
D22,"싱글톤(Singleton) 패턴은 클래스 인스턴스를 하나만 생성하고 전역 접근을 제공하는 디자인 패턴으로, Java에서는 `private static` 인스턴스와 `getInstance()` 메서드를 사용합니다. 멀티스레드 환경에서는 `synchronized` 블록이나 `volatile` 키워드로 안전성을 확보합니다."
D23,"Strategy 패턴은 알고리즘 군을 캡슐화해 상호 교환 가능하도록 하며, Java에서는 PaymentStrategy 인터페이스와 CreditCardStrategy, PayPalStrategy 구현체로 구성됩니다. 클라이언트는 런타임에 전략 객체를 주입해 유연하게 알고리즘을 선택할 수 있습니다."
D24,"Command 패턴은 요청을 객체로 캡슐화해 호출자와 수신자를 분리하며, Java에서는 `Command` 인터페이스와 `LightOnCommand`, `LightOffCommand` 같은 구체 명령 클래스를 사용합니다. 이 패턴은 요청 기록, 실행 취소, 큐잉 기능 구현에 유용합니다."
D25,"2025년 한국 정부는 “AI 국가전략 2.0”을 발표하고 AI R&D 예산을 3조 원으로 확대했으며, AI 인재 양성, 규제 샌드박스, AI 윤리 강화, 공공데이터 개방, 중소기업 AI 솔루션 지원, 대학·연구기관 협력 프로젝트를 추진하고 있다."
D26,"딥러닝(LSTM, Transformer) 기반 기상 예측은 과거 데이터를 학습해 미래 기온과 강수량을 예측하며, 한국 기상청의 시스템은 50년 치 데이터로 태풍 경로 예측 정확도를 10% 향상시켰다. 강화학습을 활용한 극한 기상 시뮬레이션 연구도 진행 중이다."
D27,"ChromaDB와 Qdrant는 벡터 검색 라이브러리로, ChromaDB는 오픈소스 파이썬 인터페이스를 제공하며 Qdrant는 Rust 기반 GPU 가속 및 필터링 기능이 강점입니다. 인덱싱 속도, 검색 응답 속도, 메모리 사용량, 스케일링 용이성 등 성능 비교와 파이썬 코드 예제, 벤치마크 결과가 공개되어 있습니다."
D28,"Contextual Compression은 PEGASUS 기반 한국어 요약 모델로 긴 문서에서 핵심 정보를 추출해 압축하고, 이를 임베딩해 검색 효율과 품질을 높이는 기법이며, Precision@k, Recall@k, nDCG@k 지표로 성능을 평가한다."
D29,Self-Query Retriever는 문서 메타데이터를 분석해 GPT-4o-mini 등 생성형 모델로 가상 쿼리(Self-Query)를 생성하고 이를 검색에 활용해 실제 질의보다 향상된 검색 품질을 제공하는 기법이다.
D30,"Multi-Hop Retrieval은 복합 질문 해결을 위해 여러 단계로 나눠 검색하는 기법으로, 예시로 ‘세종대왕 훈민정음 배경’과 ‘AI 윤리 가이드라인 사례’를 단계별로 검색해 최종 답을 도출한다. 단계별 결과를 종합해 최종 순위를 매긴다."
